tempo,x_A,y_A,x_B,y_B
0.0,1.0,0.5,0.8,0.3
0.5,2.1333333333333333,1.1,1.6933333333333334,0.6799999999999999
1.0,3.4,1.8,2.68,1.14
1.5,4.8,2.6,3.7600000000000002,1.68
2.0,6.333333333333333,3.5,4.933333333333334,2.3
2.5,8.0,4.5,6.2,3.0
3.0,9.8,5.6,7.5600000000000005,3.7800000000000002
3.5,11.733333333333334,6.8,9.013333333333334,4.640000000000001
4.0,13.8,8.1,10.56,5.58
4.5,16.0,9.5,12.200000000000001,6.6
5.0,18.333333333333332,11.0,13.933333333333334,7.699999999999999
5.5,20.799999999999997,12.6,15.76,8.879999999999999
6.0,23.4,14.3,17.68,10.139999999999999
6.5,26.133333333333333,16.1,19.693333333333335,11.479999999999999
7.0,29.0,18.0,21.8,12.899999999999999
7.5,32.0,20.0,24.0,14.399999999999999
